X,Y,Gravel,Sand,Silt,Clay
2.386,3.077,1.74,25.72,77.36,9.32
2.544,1.972,1.335,24.76,77.88,10
2.807,3.347,1.61,8.88,30.8,10.6
4.308,1.933,2.15,22.7,56.4,11.92
4.383,1.081,1.565,34.32,66.4,16.32
3.244,4.519,1.145,31.28,72.4,3.5
3.925,3.785,0.894,27.44,60,15.08
2.116,3.498,0.525,66.12,141,4.2
1.842,0.989,0.24,22.32,52.4,4.52
1.709,1.843,0.625,18.72,41.6,12.08
3.8,4.578,3.873,22.24,46,9.84
2.699,1.199,1.425,8.76,56.4,7.56
3.033,4.384,0.455,21.36,38.36,2.36
4.232,1.588,1.025,5.88,52.8,8.84
4.75,1.369,0.775,17.6,32.92,11.96
2.341,4.135,0.62,18.52,42,5.32
2.827,3.667,0.4,3.96,21.48,4.68
3.043,4.692,0.625,8.24,29.92,3.53
1.687,1.174,0.355,21.56,46.8,3.64
2.235,2.386,1.585,40.88,88.68,12.44
3.122,1.695,1.885,35.92,72.88,12.92
2.219,2.774,1.3,8.8,56.52,13.04
3.185,2.092,1.575,22.12,43.68,11.2
3.514,5.119,4.191,15.48,33.36,9.28
4.459,2.624,1.485,11.16,34.64,6.84
4.339,1.473,0.915,39.8,64.8,10.8
4.92,1.417,0.705,15.76,39.52,8.56
3.648,3.78,0.62,48.8,63.2,14.16
2.916,4.916,0.885,4.52,37.16,6.28
3.127,1.691,1.96,47.12,93.92,13.4
3.441,4.719,3.155,48.8,55.6,9.28
3.336,4.613,1.28,24.96,49.2,5.92
3.649,2.674,1.785,9.65,58.4,7.44
3.875,4.924,1.895,25.28,35.6,11.48
2.612,4.114,0.57,33.8,58.4,4.88
2.34,4.141,0.54,17.4,36.88,5.48
3.811,1.318,0.75,16.4,39.8,12.6
3.661,3.788,0.875,65.2,69.6,14.64
4.34,3.736,2.818,29.12,46,11.24
2.972,0.988,3.805,112.04,229.56,9.16
2.286,3.068,0.605,28.8,56.6,9.68
1.813,2.116,1.003,21.2,48.8,11.32
3.379,4.308,1.9,10.28,36.44,8.52
